team1,team2,team1_runs,team1_overs,team1_wickets,team2_runs,team2_overs,team2_wickets,date,winner,editable
KKR,RCB,174,20,8,177,16.2,3,22-03-2025,RCB,N
SRH,RR,286,20,6,242,20,6,23-03-2025,SRH,N
MI,CSK,155,20,9,158,19.1,6,23-03-2025,CSK,N
LSG,DC,209,20,8,211,19.3,9,24-03-2025,DC,N
PBKS,GT,243,20,5,232,20,5,25-03-2025,PBKS,N
RR,KKR,151,20,9,153,17.3,2,26-03-2025,KKR,N
SRH,LSG,190,20,9,193,16.1,5,27-03-2025,LSG,N
RCB,CSK,196,20,7,146,20,8,28-03-2025,RCB,N
GT,MI,196,20,8,160,20,6,29-03-2025,GT,N
SRH,DC,163,18.4,10,166,16,3,30-03-2025,DC,N
RR,CSK,182,20,9,176,20,6,30-03-2025,RR,N
KKR,MI,116,16.2,10,121,12.5,2,31-03-2025,MI,N
LSG,PBKS,171,20,7,177,16.2,2,01-04-2025,PBKS,N
RCB,GT,169,20,8,170,17.5,2,02-04-2025,GT,N
KKR,SRH,200,20,6,120,16.4,10,03-04-2025,KKR,N
LSG,MI,203,20,8,191,20,5,04-04-2025,LSG,N
DC,CSK,183,20,6,158,20,5,05-04-2025,DC,N
RR,PBKS,0,0,6,158,20,5,05-04-2025,DC,Y
SRH,GT,0,0,6,158,20,5,06-04-2025,DC,Y
MI,RCB,0,0,6,158,20,5,07-04-2025,DC,Y
KKR,LSG,0,0,6,158,20,5,08-04-2025,DC,Y
CSK,PBKS,0,0,6,158,20,5,08-04-2025,DC,Y
GT,RR,0,0,6,158,20,5,09-04-2025,DC,Y
RCB,DC,0,0,6,158,20,5,10-04-2025,DC,Y
CSK,KKR,0,0,6,158,20,5,11-04-2025,DC,Y
LSG,GT,0,0,6,158,20,5,12-04-2025,DC,Y
SRH,PBKS,0,0,6,158,20,5,12-04-2025,DC,Y
RR,RCB,0,0,6,158,20,5,13-04-2025,DC,Y
DC,MI,0,0,6,158,20,5,13-04-2025,DC,Y
LSG,CSK,0,0,6,158,20,5,14-04-2025,DC,Y
PBKS,KKR,0,0,6,158,20,5,15-04-2025,DC,Y
DC,RR,0,0,6,158,20,5,16-04-2025,DC,Y
MI,SRH,0,0,6,158,20,5,17-04-2025,DC,Y
RCB,PBKS,0,0,6,158,20,5,18-04-2025,DC,Y
DC,GT,0,0,6,158,20,5,19-04-2025,DC,Y
RR,LSG,0,0,6,158,20,5,19-04-2025,DC,Y
RCB,PBKS,0,0,6,158,20,5,20-04-2025,DC,Y
MI,CSK,0,0,6,158,20,5,20-04-2025,DC,Y
KKR,GT,0,0,6,158,20,5,21-04-2025,DC,Y
LSG,DC,0,0,6,158,20,5,22-04-2025,DC,Y
SRH,MI,0,0,6,158,20,5,23-04-2025,DC,Y
RCB,RR,0,0,6,158,20,5,24-04-2025,DC,Y
CSK,SRH,0,0,6,158,20,5,25-04-2025,DC,Y
KKR,PBKS,0,0,6,158,20,5,26-04-2025,DC,Y
MI,LSG,0,0,6,158,20,5,27-04-2025,DC,Y
DC,RCB,0,0,6,158,20,5,27-04-2025,DC,Y
RR,GT,0,0,6,158,20,5,28-04-2025,DC,Y
DC,KKR,0,0,6,158,20,5,29-04-2025,DC,Y
CSK,PBKS,0,0,6,158,20,5,30-04-2025,DC,Y
RR,MI,0,0,6,158,20,5,01-05-2025,DC,Y
GT,SRH,0,0,6,158,20,5,02-05-2025,DC,Y
RCB,CSK,0,0,6,158,20,5,03-05-2025,DC,Y
KKR,RR,0,0,6,158,20,5,04-05-2025,DC,Y
PBKS,LSG,0,0,6,158,20,5,04-05-2025,DC,Y
SRH,DC,0,0,6,158,20,5,05-05-2025,DC,Y
MI,GT,0,0,6,158,20,5,06-05-2025,DC,Y
KKR,CSK,0,0,6,158,20,5,07-05-2025,DC,Y
PBKS,DC,0,0,6,158,20,5,08-05-2025,DC,Y
LSG,RCB,0,0,6,158,20,5,09-05-2025,DC,Y
SRH,KKR,0,0,6,158,20,5,10-05-2025,DC,Y
PBKS,MI,0,0,6,158,20,5,11-05-2025,DC,Y
DC,GT,0,0,6,158,20,5,11-05-2025,DC,Y
CSK,RR,0,0,6,158,20,5,12-05-2025,DC,Y
RCB,SRH,0,0,6,158,20,5,13-05-2025,DC,Y
GT,LSG,0,0,6,158,20,5,14-05-2025,DC,Y
MI,DC,0,0,6,158,20,5,15-05-2025,DC,Y
RR,PBKS,0,0,6,158,20,5,16-05-2025,DC,Y
RCB,KKR,0,0,6,158,20,5,17-05-2025,DC,Y
GT,CSK,0,0,6,158,20,5,18-05-2025,DC,Y
LSG,SRH,0,0,6,158,20,5,18-05-2025,DC,Y
